Speeches,the_AT,and_CC,of_IN,we_PPSS,to_IN,that_CS,this_DT,will_MD,you_PPSS,as_CS,can_MD,what_WDT.,that_DT,or_CC,when_WRB,that's_DT,if_CS,my_PP$,make_VB,he_PPS,has_HVZ,now_RB,because_CS,it's_PPS,just_RB,years_NNS,want_VB,here_RB,up_RP,need_VB,we're_PPSS,some_DTI,we've_PPSS,got_VBD,so_CS,would_MD,his_PP$,government_NN,go_VB,work_VB,give_VB,many_AP,why_WRB,united_VBN,other_AP,together_RB,how_WRB,can't_MD,down_RP,same_AP,see_VB,senator_NN,you're_PPSS,companies_NNS,working_VBG,never_RB,election_NN,change_NN,any_DTI,we'll_PPSS,very_QL,right_QL,sure_JJ,making_VBG,college_NN,its_PP$,class_NN,tell_VB,life_NN,they're_PPSS,am_BEM,most_QL,folks_NNS,young_JJ,everybody_PN,laughter_NP,percent_NN,business_NN,able_JJ,after_IN,look_VB,members_NNS,afford_VB,doing_VBG,history_NN,made_VBD,mccain_NP,audience_NN,there's_EX,power_NN,century_NN,dollars_NNS,chance_NN,deficit_NN,forward_RB,obama_NP,4_CD,you've_PPSS,2_CD,office_NN,john_NP,politics_NN,getting_VBG,clinton_NP,idea_NN,public_JJ,what's_WDT.,reason_NN,willing_JJ,lead_VB,bless_VB,republicans_NPS,try_VB,hard_RB,wrong_JJ,protect_VB,3_CD,they've_PPSS,course_NN,decade_NN,interests_NNS,10_CD,because_RB,21st_OD,record_NN,ways_NNS,often_RB,cuts_VBZ,asking_VBG,serious_JJ,bad_JJ,rights_NNS,others_NNS,breaks_VBZ,become_VB,looking_VBG,until_CS,direction_NN,who's_WPS,sick_JJ,spending_NN,greater_JJR,cause_NN,auto_NN,2008_CD,investing_VBG,heart_NN,you'll_PPSS,honor_NN,among_IN,colleges_NNS,elected_VBN,that's_WPS,main_JJS,wealthiest_JJT,anybody_PN,much_QL,here's_RB,courage_NN,wealth_NN,such_JJ,answer_NN,case_NN,someone_PN,seek_VB,roads_NNS,increase_NN,reforms_NNS,depression_NN,rebuilding_VBG,they'll_PPSS,250_CD,control_NN,corporations_NNS,remind_VB,tuition_NN,win/loss,Reduced by Correlation
1992clinton920416.txt,0.047838,0.037313,0.020475,0.013586,0.0097589,0.003253,0.0034443,0.0082281,0.0026789,0.0047838,0.003253,0.0030616,0.0017222,0.0021049,0.0011481,0.00019135,0.0015308,0.0017222,0.0026789,0.0007654,0.0034443,0.0007654,0.0015308,0.00019135,0.0017222,0.0021049,0.0015308,0.0017222,0.0017222,0.0040184,0.0013395,0.00019135,0.00095675,0.00095675,0.0007654,0.00095675,0.0011481,0.0026789,0.0013395,0.0003827,0.0011481,0.0003827,0.00019135,0,0.0003827,0.00095675,0,0.0003827,0.00095675,0.00057405,0.00019135,0.00019135,0,0.0019135,0.0007654,0,0.00019135,0.0011481,0.0011481,0.0007654,0.0003827,0,0,0.00057405,0.0007654,0.0003827,0.00095675,0,0.00057405,0.0003827,0,0.0015308,0,0.0003827,0.00019135,0,0.0013395,0.0019135,0.0003827,0.0003827,0.0003827,0,0,0.00019135,0.00057405,0.00019135,0,0,0,0,0.0003827,0,0.00057405,0,0,0,0.00019135,0,0.0003827,0.00019135,0.00019135,0.00019135,0,0.0007654,0.00057405,0.00019135,0,0,0.00019135,0.0003827,0,0.00019135,0,0.0003827,0.00057405,0,0.0007654,0,0,0.0003827,0.00057405,0.00019135,0,0,0.00019135,0.00019135,0.00057405,0,0,0,0,0.00057405,0,0,0.00057405,0,0.0007654,0,0,0,0,0,0,0,0,0.0007654,0,0,0,0.00057405,0,0.00019135,0,0,0,0,0.00019135,0,0.0003827,0.00019135,0.00019135,0,0,0,0.0003827,0,0.00019135,0,0.00019135,0,0,0,0,0.0011481,0,0,1,
1992clinton920422.txt,0.040797,0.031784,0.016603,0.010199,0.0064042,0.0056926,0.0064042,0.0023719,0.016129,0.0014231,0.0035579,0.0085389,0.0035579,0.0028463,0.0023719,0.0018975,0.006167,0.0014231,0.0018975,0.00071157,0.0021347,0.0016603,0.0035579,0.0021347,0.0023719,0.0047438,0.0023719,0.0016603,0.0033207,0.001186,0.0021347,0.0021347,0.00094877,0.0028463,0.001186,0.0035579,0.00023719,0.004981,0.0045066,0.0030835,0.0028463,0.00023719,0.0021347,0,0.0018975,0.00047438,0.00094877,0.0016603,0.0026091,0.00047438,0.00023719,0,0.00047438,0.00047438,0.00094877,0.00047438,0.001186,0.00023719,0.00047438,0,0.001186,0,0,0.00023719,0.0021347,0.00071157,0.00023719,0.0014231,0,0.00047438,0,0,0.00047438,0.00023719,0.00047438,0,0.0028463,0.00023719,0.00071157,0.00023719,0.0021347,0.00023719,0.00047438,0,0,0.00047438,0,0,0.00047438,0,0,0.00023719,0.00023719,0,0,0,0.00094877,0.00094877,0.00094877,0.00023719,0,0.00023719,0.00023719,0,0.001186,0.00047438,0.0014231,0,0.00023719,0,0,0.00023719,0.00047438,0.00047438,0.00071157,0,0.001186,0.00047438,0,0.00047438,0,0.00071157,0,0,0,0.00023719,0,0,0,0,0.00023719,0,0,0,0.00023719,0,0.00023719,0,0.00047438,0,0,0,0,0.00047438,0,0,0,0.00071157,0,0.00023719,0,0.00071157,0,0,0.00023719,0.00094877,0.00023719,0.001186,0,0.00047438,0,0.00071157,0,0.00023719,0,0,0,0,0.00047438,0,0,0.00023719,0,0.00047438,0,0,1,
1992clinton920716.txt,0.037022,0.033041,0.018113,0.013734,0.0081608,0.0059713,0.0057723,0.0049761,0.0059713,0.0027866,0.0057723,0.0031847,0.0033838,0.0033838,0.0027866,0.0023885,0.0021895,0.0061704,0.0021895,0.0061704,0.004578,0.0013933,0.0017914,0.00059713,0.0023885,0.00099522,0.0029857,0.00099522,0.0021895,0.00059713,0.00039809,0.00079618,0.00079618,0.00039809,0.00099522,0.00019904,0.00039809,0.004578,0.00099522,0.0017914,0.0015924,0.00059713,0.0013933,0.00059713,0.00099522,0.0019904,0.00079618,0.00039809,0.0011943,0.00039809,0.0013933,0,0.0011943,0.00059713,0.00099522,0.00099522,0.00019904,0.00079618,0,0.00019904,0,0.00039809,0.00019904,0.00059713,0.00019904,0.00079618,0.00059713,0.00039809,0.0011943,0,0.0019904,0.00019904,0.00039809,0.00079618,0.00019904,0,0,0.00039809,0.00019904,0.00019904,0.00059713,0,0.00019904,0.00079618,0.00059713,0.00059713,0,0,0.00019904,0.00039809,0.00039809,0.00019904,0.00079618,0,0,0,0,0,0,0.00039809,0.00019904,0.00019904,0,0,0,0.00039809,0.00019904,0.00039809,0.00019904,0.00039809,0.00019904,0.00019904,0,0.00039809,0.00039809,0.00019904,0,0.00039809,0.00019904,0,0.00039809,0.00019904,0.00019904,0.00039809,0,0.00039809,0,0.00019904,0,0,0,0.00039809,0,0,0.00019904,0,0.00019904,0,0,0.0013933,0,0,0.0015924,0,0,0,0.00019904,0.00039809,0,0,0.00019904,0,0.00019904,0,0.00019904,0.00019904,0,0,0.00039809,0.00019904,0,0,0.00019904,0.00039809,0,0,0,0.00019904,0,0,0,0,0,0,0,0,1,
1992clinton920814.txt,0.053289,0.037926,0.024964,0.012962,0.013442,0.0043207,0.0091215,0.0081613,0.00048008,0.006241,0.0028805,0.00048008,0.0028805,0.0024004,0.0028805,0,0.0019203,0.0024004,0.0024004,0.00096015,0.0052808,0.0014402,0,0,0.00048008,0.00048008,0,0.00096015,0.0028805,0.00048008,0.00048008,0.00048008,0,0,0.00096015,0.0024004,0.0014402,0,0.00048008,0.00048008,0.00048008,0,0,0.00096015,0.0019203,0.00048008,0.00048008,0.00048008,0.00048008,0.0024004,0.00048008,0,0.00048008,0.00048008,0,0.0014402,0,0.0024004,0,0,0,0,0,0,0,0,0.00048008,0,0,0,0,0.00048008,0,0,0,0,0,0.00096015,0,0.00048008,0,0,0,0,0.00096015,0,0,0,0,0.0014402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00048008,0,0.0014402,0,0,0,0.00048008,0,0,0.00048008,0,0.0024004,0.00096015,0,0,0.00048008,0,0.00048008,0.00096015,0,0,0,0,0.00048008,0,0,0,0.00096015,0,0,0,0.00048008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00048008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1992clinton921002.txt,0.051535,0.029605,0.026316,0.002193,0.013158,0.004386,0.0054825,0.002193,0,0.004386,0.0032895,0.0010965,0.002193,0,0.0032895,0,0.004386,0.0010965,0,0.004386,0.004386,0.0010965,0,0,0.0032895,0.0010965,0,0,0,0,0,0.0010965,0,0,0,0,0.0032895,0,0,0,0,0,0,0.002193,0,0,0.0010965,0,0,0.0010965,0,0.0010965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032895,0,0,0,0,0.002193,0,0,0,0,0,0,0,0,0.0010965,0.0010965,0,0,0,0,0,0,0,0,0.0054825,0,0,0,0,0,0,0,0,0,0,0,0.002193,0,0,0.0010965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010965,0,0,0,0.0010965,0,0.002193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010965,0,0.002193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1994clinton930217.txt,0.04989,0.029156,0.023196,0.020086,0.010755,0.0090709,0.011922,0.0098484,0.0022029,0.0071271,0.0034988,0.0020733,0.0022029,0.0024621,0.00064792,0.0011663,0.0040171,0.0011663,0.0029804,0,0.0024621,0.0023325,0.0019438,0.00025917,0.0020733,0.0024621,0.001555,0.00090709,0.00051834,0.001555,0.0023325,0.0014254,0.00012958,0.00051834,0.0012958,0.00064792,0,0.0032396,0.00090709,0.0018142,0.0011663,0.00090709,0.00090709,0.00051834,0.0010367,0.00090709,0.00051834,0.00038875,0.00012958,0.0011663,0.00064792,0,0.00038875,0.0007775,0.00025917,0.00051834,0.00025917,0.00090709,0.0019438,0.0007775,0.00038875,0,0.00064792,0.00064792,0.00051834,0.00064792,0.00025917,0.00038875,0.00051834,0.00012958,0.00038875,0.00090709,0,0.00038875,0.00012958,0.00038875,0.0020733,0.0016846,0.00038875,0.00012958,0.00038875,0.00038875,0.00012958,0.00090709,0.00064792,0,0,0,0.00025917,0.00012958,0.00051834,0.00038875,0.00012958,0.0025917,0.00012958,0,0.00051834,0.00012958,0.00025917,0.00051834,0,0,0,0,0.00012958,0.00064792,0.00012958,0,0,0.00012958,0.00012958,0.00051834,0,0,0,0.00025917,0.00012958,0,0.00012958,0.00064792,0.00025917,0.0007775,0.00025917,0.00025917,0,0.00038875,0.00038875,0,0.00038875,0,0,0,0.00012958,0,0,0,0.00051834,0.00064792,0,0.00012958,0.00064792,0.00025917,0,0,0,0.00012958,0.00038875,0.00025917,0,0.00012958,0,0,0,0,0.00012958,0.00012958,0.00025917,0,0.00025917,0,0.00012958,0,0,0.00012958,0.00038875,0.00012958,0.00025917,0,0,0,0.00012958,0.00012958,0.00012958,0.00012958,0,0,1,
1994clinton930430.txt,0.050786,0.031299,0.024829,0.016553,0.0096306,0.0088782,0.010082,0.008201,0.0036115,0.0056429,0.0038372,0.0024829,0.0024829,0.0027838,0.00097811,0.00097811,0.0029343,0.0017305,0.0029343,0.00022572,0.0026334,0.0025581,0.0022572,0.00060191,0.0026334,0.0017305,0.0021067,0.0030848,0.0012038,0.0017305,0.0023324,0.0012791,0.00067715,0.00067715,0.00097811,0.00082763,0.00060191,0.0030096,0.00090287,0.00158,0.0010533,0.0017305,0.00075239,0.00075239,0.0018057,0.00082763,0.00097811,0.00037619,0.00045143,0.00082763,0.00097811,0.00037619,0.00037619,0.00045143,0.00060191,0.00060191,0.00022572,0.00067715,0.0012038,0.00075239,0.00067715,0.0000752,0.00060191,0.00052667,0.0018057,0.00037619,0.00037619,0.00022572,0.00060191,0.00022572,0.00045143,0.00060191,0,0.0013543,0.00015048,0.00030096,0.00158,0.0010533,0.00037619,0.0000752,0.00037619,0.00060191,0.00015048,0.00067715,0.00060191,0.0000752,0,0,0.00030096,0.00015048,0.00045143,0.00022572,0.00030096,0.0016553,0.0000752,0,0.00052667,0.00022572,0.00037619,0.00037619,0,0.00022572,0,0,0.00022572,0.00082763,0.00015048,0,0,0.00015048,0.00015048,0.00037619,0,0.0000752,0.00037619,0.00015048,0.00015048,0,0.00022572,0.00037619,0.00030096,0.00075239,0.00015048,0.00022572,0,0.00045143,0.00067715,0,0.00030096,0.0000752,0.0000752,0,0.00030096,0,0.00015048,0,0.00030096,0.00067715,0.0000752,0.00015048,0.00037619,0.00015048,0,0,0,0.0000752,0.00022572,0.00022572,0,0.0000752,0.0000752,0,0,0,0.0000752,0.0000752,0.00022572,0,0.00015048,0,0.0000752,0.00015048,0,0.00022572,0.00037619,0.0000752,0.00022572,0,0,0,0.0000752,0.0000752,0.00015048,0.0000752,0,0,1,
1994clinton940125.txt,0.039157,0.029639,0.019639,0.018193,0.009759,0.0043373,0.0079518,0.0075904,0.0036145,0.0033735,0.0026506,0.0022892,0.0026506,0.0021687,0.0028916,0.00060241,0.0031325,0.0016867,0.0014458,0.0014458,0.0027711,0.0019277,0.0021687,0.00084337,0.0016867,0.0021687,0.0019277,0.0021687,0.0010843,0.0012048,0.00072289,0.00072289,0.00048193,0.00036145,0.00060241,0.00072289,0.00072289,0.00072289,0.00084337,0.0022892,0.0019277,0.0016867,0.00036145,0.00048193,0.0012048,0.00096386,0.00060241,0.0014458,0.00096386,0.00072289,0.00024096,0,0.00048193,0.00012048,0.00072289,0.00072289,0,0.00024096,0.0010843,0.00084337,0.00048193,0.00060241,0.00012048,0.00036145,0.00024096,0.0012048,0.00036145,0.00096386,0.00072289,0.00036145,0.00048193,0.00048193,0.00024096,0.00084337,0.00060241,0,0.00072289,0.00036145,0.00024096,0.00012048,0.00048193,0.00048193,0,0.00012048,0.00084337,0.00024096,0,0,0.00036145,0.00048193,0.00012048,0.00012048,0.00084337,0.0010843,0.00012048,0,0,0,0.00024096,0.00024096,0,0.00012048,0,0.00012048,0.00024096,0.00036145,0.00012048,0,0.00024096,0,0.00024096,0.00024096,0,0,0.00036145,0.00024096,0,0.00012048,0.00024096,0.00012048,0.00036145,0.00024096,0.00024096,0,0.00024096,0.00048193,0.00012048,0.00024096,0,0.00012048,0.00012048,0.00036145,0.00048193,0,0.00024096,0,0.00036145,0,0,0.00036145,0.00048193,0,0,0.00012048,0,0,0.00012048,0,0.00012048,0.00012048,0,0,0.00012048,0,0.00036145,0,0,0,0.00012048,0,0.00024096,0.00012048,0,0.00012048,0.00036145,0,0.00024096,0.00036145,0,0,0.00012048,0,0,0.00012048,0,0,1,
1994clinton940201.txt,0.048755,0.029086,0.024482,0.018832,0.0073237,0.010672,0.0087884,0.0039757,0.007533,0.0014647,0.0048127,0.0029295,0.0046035,0.0023017,0.0018832,0.0023017,0.0031387,0.00020925,0.001674,0.000837,0.0018832,0.002511,0.0029295,0.0010462,0.0027202,0.0012555,0.0023017,0.0023017,0.001674,0.0018832,0.00020925,0.002511,0.0010462,0.0012555,0.0023017,0.0018832,0,0.00062775,0.001674,0.0014647,0.0004185,0.001674,0.0014647,0.00020925,0.0035572,0.0014647,0.000837,0.0012555,0.0004185,0.0014647,0.00062775,0.000837,0.00020925,0.00020925,0.00020925,0.0023017,0,0,0.0010462,0.0004185,0.000837,0,0,0.0010462,0,0,0.0004185,0,0.00020925,0.0004185,0.0004185,0.0012555,0.0004185,0,0.00062775,0.00020925,0.000837,0.0014647,0.0004185,0.0004185,0.0004185,0,0.00020925,0.000837,0,0.00020925,0,0,0.00062775,0.00062775,0.00020925,0.00020925,0.00020925,0.00020925,0,0,0,0.0004185,0.00020925,0.0004185,0,0.0004185,0.0004185,0.00020925,0,0.00020925,0.000837,0.00020925,0,0,0,0.0004185,0.0004185,0.00020925,0,0,0.00020925,0,0,0,0,0.0004185,0.00020925,0.00020925,0,0,0.0014647,0,0.0004185,0.00020925,0,0,0.0004185,0,0,0,0.0004185,0.0004185,0.00020925,0.0004185,0,0,0,0,0,0,0,0.0004185,0,0.000837,0,0,0,0,0,0.00020925,0.00020925,0,0,0,0,0.00020925,0,0.0004185,0,0,0.00020925,0.0004185,0,0,0.00020925,0,0.00020925,0,0,0,1,
1994clinton940315.txt,0.04109,0.025599,0.019886,0.014722,0.009009,0.0078005,0.0070314,0.0079103,0.0068117,0.0036256,0.0019776,0.0028565,0.0036256,0.0030762,0.0010987,0.0015381,0.0051637,0.0023072,0.0012085,0.00098879,0.0020875,0.0030762,0.003296,0.0015381,0.0023072,0.0020875,0.0030762,0.003296,0.0029664,0.00087893,0.0025269,0.0024171,0.00076906,0.00087893,0.0035157,0.0031861,0.0003296,0.00054933,0.0017579,0.001648,0.0021973,0.00098879,0.00054933,0.00076906,0.0017579,0.00054933,0.0012085,0.00087893,0.00076906,0.0006592,0.00043946,0.00043946,0.0015381,0.0006592,0.0003296,0.0006592,0,0.00010987,0.0014283,0.00087893,0.0028565,0.00076906,0.00010987,0.0003296,0.00076906,0.00010987,0,0.00054933,0.0003296,0.00076906,0.00043946,0.0003296,0,0.0010987,0.0015381,0.0003296,0.0010987,0.00043946,0.0010987,0.00087893,0.00010987,0,0.00021973,0.0013184,0,0.00021973,0,0,0.0003296,0.00010987,0.00010987,0,0.00021973,0.0014283,0,0,0.00054933,0.00021973,0.00076906,0.0006592,0,0,0.00021973,0.00021973,0.00010987,0.0003296,0.0003296,0.00010987,0,0,0.00021973,0,0.0020875,0.00010987,0,0.00021973,0.0006592,0.00043946,0.00010987,0,0.00010987,0.00054933,0.00010987,0.00010987,0.00021973,0,0,0,0.00010987,0.00021973,0.00021973,0,0.00021973,0,0,0,0.0003296,0,0.0003296,0.00021973,0.00043946,0,0,0,0,0,0,0.00054933,0,0.00010987,0.00010987,0.00010987,0,0,0,0.00043946,0.0003296,0.00043946,0,0,0.00021973,0.0003296,0,0.0006592,0,0,0.0003296,0.00010987,0,0,0.00010987,0,0.00010987,0,0,0,1,
1994clinton940801.txt,0.041255,0.025355,0.014181,0.009884,0.010743,0.0034379,0.0068758,0.0030082,0.0077353,0.00042974,0.001719,0.012892,0.0025784,0.0025784,0.00085948,0.0025784,0.0051569,0.0025784,0.001719,0.0025784,0.001719,0.0038676,0.0012892,0.0034379,0.0030082,0.0055866,0.0042974,0.0047271,0.0042974,0,0.001719,0.0012892,0,0.001719,0.00085948,0.0012892,0.00085948,0.001719,0.00085948,0.0012892,0.0034379,0.00042974,0,0.0025784,0.001719,0,0,0.00042974,0.0025784,0.0012892,0,0,0.0021487,0.00042974,0.001719,0.00085948,0,0,0.001719,0,0,0,0.00042974,0,0,0,0.001719,0.0021487,0.00085948,0.0025784,0.00085948,0,0.00085948,0.00085948,0.0021487,0,0.001719,0.0012892,0.00085948,0.00042974,0,0.00042974,0.0012892,0.00085948,0.00042974,0,0,0,0,0,0.00042974,0,0.00042974,0.00085948,0,0,0,0.0012892,0.00085948,0,0.00042974,0.00042974,0.00042974,0.00042974,0.00042974,0,0,0,0,0,0.00042974,0.00042974,0,0,0.00042974,0,0.00042974,0,0,0,0,0.00042974,0,0.00042974,0,0,0,0.00042974,0.00042974,0,0,0,0,0,0,0,0,0.00042974,0.00085948,0.00042974,0,0.00042974,0,0,0,0,0,0,0,0,0,0,0.00042974,0,0.00042974,0.00042974,0,0.00042974,0,0,0,0.0034379,0,0,0,0,0.001719,0,0,0,0,0,0,0,0,0,1,
1994clinton941019.txt,0.04529,0.031779,0.023597,0.013511,0.0076118,0.0087536,0.0078021,0.0060894,0.0091342,0.0028544,0.0022835,0.0055186,0.0038059,0.0020932,0.0038059,0.0030447,0.0039962,0.00095147,0.0030447,0.0011418,0.0036156,0.0020932,0.0015224,0.0015224,0.0022835,0.0020932,0.0028544,0.0026641,0.0026641,0.0013321,0.0017127,0.0020932,0.00076118,0.00038059,0.0028544,0.00095147,0.00095147,0.0038059,0.0013321,0.0028544,0.00095147,0.00057088,0.00019029,0.00095147,0.0015224,0.0011418,0.00076118,0.00019029,0.00095147,0.00057088,0.00076118,0,0.00019029,0.0011418,0.0013321,0.00038059,0,0.00019029,0.00076118,0.00057088,0.0028544,0,0,0.00019029,0.00038059,0.00019029,0.00019029,0.00038059,0.00038059,0.00095147,0.0011418,0.00076118,0.00038059,0.00019029,0.00019029,0.0015224,0.00057088,0.00076118,0.00057088,0.00057088,0.0017127,0.00019029,0,0.0015224,0.00019029,0.00038059,0,0,0.00038059,0,0.00038059,0.00057088,0.00057088,0.00095147,0.00057088,0,0.00019029,0.00057088,0.00076118,0.00057088,0,0,0,0,0.00019029,0.00019029,0.00019029,0.00019029,0,0,0.00019029,0,0.00038059,0,0,0,0.00076118,0,0.00038059,0,0,0,0.00076118,0.00038059,0,0.00038059,0,0,0,0.00019029,0,0.00019029,0.00019029,0,0.00038059,0,0,0.00038059,0.00038059,0,0.00019029,0,0,0,0,0.00019029,0,0.00038059,0,0,0,0,0,0,0,0.00038059,0.00019029,0,0,0.00019029,0,0.00019029,0,0,0,0,0,0,0.00019029,0,0,0,0,0,0,0,1,
1994clinton941209.txt,0.055683,0.036105,0.030511,0.021866,0.0091533,0.0063565,0.0099161,0.0061022,0.0015256,0.0035596,0.0045767,0.0015256,0.0043224,0.00025426,0.001017,0.0015256,0.0045767,0.00076278,0.0015256,0,0.0050852,0.0020341,0.00076278,0.001017,0.0025426,0.0030511,0.00025426,0.0053394,0.00050852,0.00025426,0.0012713,0.00025426,0.001017,0.00050852,0.00025426,0.0012713,0.0012713,0.0015256,0.00025426,0.00050852,0.00050852,0.001017,0.0012713,0.0033054,0.0015256,0.0012713,0.00076278,0.00025426,0.00050852,0,0,0.00050852,0,0,0.001017,0.00050852,0,0.00050852,0.00025426,0,0.0017798,0,0,0.00025426,0,0.0017798,0.00025426,0.00025426,0.00050852,0.00025426,0.00025426,0.00076278,0,0,0,0.00025426,0.001017,0,0.00025426,0.001017,0.00025426,0.00050852,0,0.00050852,0.00025426,0.00025426,0,0,0,0,0.00025426,0,0.00050852,0.00050852,0.00025426,0,0.00076278,0,0.00025426,0,0.00025426,0,0,0,0,0,0,0,0,0.00025426,0,0,0.00025426,0,0,0,0.00076278,0.00076278,0.00025426,0.00050852,0,0.00025426,0,0,0,0.0015256,0,0,0,0,0,0.00050852,0.00025426,0,0.00025426,0,0,0.00025426,0,0,0.00025426,0.00025426,0.00025426,0.00025426,0,0,0,0,0,0.00076278,0,0.00025426,0.00025426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00050852,0.00025426,0,0,0,0,0,0,0,0,1,
1994clinton950110.txt,0.044497,0.028383,0.021791,0.015199,0.006226,0.0076909,0.0067753,0.003113,0.007874,0.0040286,0.003113,0.0075078,0.003113,0.0029299,0.0014649,0.0058597,0.0034792,0.0014649,0.0020143,0.0040286,0.0010987,0.0032961,0.0023805,0.003113,0.0038454,0.0038454,0.0025636,0.003113,0.0023805,0.001648,0.0010987,0.0010987,0.0012818,0.001648,0.0029299,0.00073247,0.00073247,0.006226,0.0010987,0.00036623,0.0012818,0.00036623,0.00073247,0.00054935,0.0012818,0.00036623,0.00054935,0.00073247,0.00054935,0.00054935,0.00073247,0,0.00054935,0,0.0018312,0.00054935,0,0.00073247,0.00036623,0.00036623,0.0012818,0,0.00018312,0.00054935,0.0021974,0.00036623,0.0010987,0.00018312,0.0010987,0.00091558,0.00073247,0.00018312,0.00036623,0.00018312,0.00091558,0.00091558,0.0010987,0.00036623,0.00054935,0.00073247,0,0,0,0.00073247,0.00054935,0.00018312,0,0,0.00018312,0.00054935,0.0014649,0.00018312,0.00018312,0.00091558,0,0,0,0.00036623,0.0020143,0.00036623,0,0,0.00036623,0,0,0,0.00018312,0.00018312,0,0,0.00018312,0.00018312,0.00036623,0.00018312,0,0,0.00036623,0.00018312,0.00036623,0,0,0.00018312,0.00018312,0.00073247,0,0.00018312,0,0,0,0,0,0.0012818,0.00018312,0,0,0,0.00018312,0,0.00018312,0,0,0,0,0,0,0,0,0,0,0.00018312,0.00018312,0,0.00018312,0,0,0.00054935,0.00018312,0,0,0,0,0.00018312,0,0.00018312,0,0,0.00036623,0,0,0,0,0,0,0,0,0,1,
1994clinton950113.txt,0.050858,0.039415,0.02776,0.014622,0.010595,0.009324,0.0057216,0.0072049,0.00063573,0.0025429,0.0031786,0.0016953,0.0038144,0.0012715,0.00063573,0.00042382,0.002331,0.00042382,0.002331,0.00021191,0.0048739,0.0019072,0.0010595,0.00063573,0.0019072,0.0016953,0.0012715,0.0059335,0.00063573,0.00063573,0.00084764,0.0012715,0.00063573,0.00084764,0.0010595,0.0014834,0.00042382,0.0010595,0.00042382,0.0010595,0.00084764,0.0016953,0.00084764,0.0044501,0.0014834,0.0012715,0.00021191,0.00021191,0.00063573,0.00021191,0.00021191,0,0.00021191,0.00084764,0.0010595,0.00063573,0,0.0010595,0.00021191,0.00021191,0.0014834,0,0.00042382,0.00042382,0,0.0021191,0,0,0,0,0.00084764,0.00063573,0,0,0,0.00063573,0,0.0019072,0,0.00021191,0.00063573,0.00084764,0.00042382,0,0.0010595,0.00021191,0,0,0,0.00042382,0.0012715,0,0.00021191,0.00021191,0.00021191,0,0.00021191,0.00042382,0.00063573,0.00042382,0,0.00021191,0.00021191,0,0,0.00021191,0,0,0,0.00063573,0,0.00021191,0.00021191,0.00042382,0.00021191,0,0,0,0.00084764,0,0.00021191,0,0.00021191,0.00021191,0.00021191,0,0,0,0,0,0,0,0.00063573,0,0.00063573,0,0.00021191,0,0,0,0,0.00042382,0,0.00021191,0,0,0,0,0,0.00042382,0,0,0,0,0,0,0.00021191,0,0,0,0,0,0,0.00021191,0.00021191,0,0,0.00021191,0,0,0,0,0.00021191,0,0.00021191,0,1,
1994clinton950121.txt,0.038732,0.029225,0.021831,0.018662,0.0088028,0.0066901,0.0070423,0.0026408,0.009507,0.0028169,0.0033451,0.0051056,0.0049296,0.0019366,0.0036972,0.0012324,0.0024648,0.00088028,0.0015845,0.0044014,0.0012324,0.0012324,0.0035211,0.0015845,0.0024648,0.0026408,0.0026408,0.0015845,0.0014085,0.0019366,0.0012324,0.0015845,0.00052817,0.0012324,0.0017606,0.00088028,0.00070423,0.0028169,0.0022887,0.0014085,0.002993,0.0012324,0.00088028,0,0.0012324,0.00088028,0.00017606,0,0.0014085,0.00052817,0.00088028,0.00017606,0.00035211,0,0.0014085,0.00035211,0.0010563,0.0012324,0.00052817,0.00088028,0.00088028,0.00017606,0.00017606,0.00017606,0.00070423,0,0.0012324,0.0014085,0.0010563,0.0024648,0.00052817,0.00088028,0.00035211,0.00052817,0.00070423,0.0021127,0.00070423,0.00017606,0.00035211,0.0010563,0.00017606,0.00035211,0,0.00070423,0.00052817,0.00052817,0,0,0.0010563,0.00017606,0.00070423,0,0.00070423,0.00017606,0.00070423,0,0,0,0.0017606,0.00052817,0.00017606,0.0012324,0,0,0.00017606,0.00035211,0,0,0.00017606,0,0.00017606,0.00070423,0.00017606,0.00035211,0.00052817,0,0.00017606,0.00017606,0,0,0.00035211,0,0.00035211,0.00017606,0,0.00070423,0.00017606,0.00052817,0,0.00035211,0.00070423,0.0010563,0,0,0.00052817,0,0.00017606,0.00017606,0.00017606,0.00017606,0.00017606,0.00017606,0,0,0,0,0.00017606,0,0.00035211,0.00017606,0,0,0,0,0,0.00017606,0,0,0.00017606,0,0,0.00052817,0,0,0.00017606,0,0.00017606,0,0,0,0.00017606,0,0,0,0,0,1,
